"DateTime","Pre Open BELEQN","BELEQN"
"2026-04-20 09:00:59",457.75,
"2026-04-20 09:01:59",459,
"2026-04-20 09:02:59",458,
"2026-04-20 09:03:59",460,
"2026-04-20 09:04:58",460,
"2026-04-20 09:05:59",461,
"2026-04-20 09:06:59",461.5,
"2026-04-20 09:07:33",462,
"2026-04-20 09:15:58",,459.8
"2026-04-20 09:16:59",,457.55
"2026-04-20 09:17:56",,458.8
"2026-04-20 09:18:59",,458.6
"2026-04-20 09:19:59",,460.85
"2026-04-20 09:20:59",,462.8
"2026-04-20 09:21:59",,463.7
"2026-04-20 09:22:59",,463.8
"2026-04-20 09:23:55",,463.35
"2026-04-20 09:24:54",,463.25
"2026-04-20 09:25:58",,463.15
"2026-04-20 09:26:54",,461.65
"2026-04-20 09:27:59",,461.65
"2026-04-20 09:28:54",,462
"2026-04-20 09:29:59",,461.9
"2026-04-20 09:30:58",,460.65
"2026-04-20 09:31:53",,461
"2026-04-20 09:32:59",,459.85
"2026-04-20 09:33:59",,460.4
"2026-04-20 09:34:59",,459.6
"2026-04-20 09:35:59",,460.3
"2026-04-20 09:36:58",,460.15
"2026-04-20 09:37:58",,459.85
"2026-04-20 09:38:55",,459.6
"2026-04-20 09:39:56",,460.2
"2026-04-20 09:40:54",,460.5
"2026-04-20 09:41:54",,460.2
"2026-04-20 09:42:54",,460.4
"2026-04-20 09:43:53",,460
"2026-04-20 09:44:52",,459.7
"2026-04-20 09:45:59",,459.9
"2026-04-20 09:46:57",,459.75
"2026-04-20 09:47:56",,459.5
"2026-04-20 09:48:55",,459.35
"2026-04-20 09:49:45",,459.75
"2026-04-20 09:50:58",,459.35
"2026-04-20 09:51:53",,459.3
"2026-04-20 09:52:56",,459.8
"2026-04-20 09:53:59",,459.95
"2026-04-20 09:54:56",,460.05
"2026-04-20 09:55:54",,460.05
"2026-04-20 09:56:58",,459.55
"2026-04-20 09:57:47",,459.65
"2026-04-20 09:58:55",,459.5
"2026-04-20 09:59:48",,459.2
"2026-04-20 10:00:55",,459
"2026-04-20 10:01:55",,458.85
"2026-04-20 10:02:54",,458.95
"2026-04-20 10:03:54",,459.3
"2026-04-20 10:04:54",,459.1
"2026-04-20 10:05:59",,459.45
"2026-04-20 10:06:55",,459.45
"2026-04-20 10:07:58",,459.6
"2026-04-20 10:08:56",,459.9
"2026-04-20 10:09:54",,459.9
"2026-04-20 10:10:59",,459.2
"2026-04-20 10:11:56",,459.1
"2026-04-20 10:12:53",,458.7
"2026-04-20 10:13:57",,458.9
"2026-04-20 10:14:58",,459.15
"2026-04-20 10:15:54",,459.6
"2026-04-20 10:16:59",,459.85
"2026-04-20 10:17:54",,459.6
"2026-04-20 10:18:59",,459.9
"2026-04-20 10:19:49",,459.95
"2026-04-20 10:20:55",,460.25
"2026-04-20 10:21:59",,460.25
"2026-04-20 10:22:43",,460.55
"2026-04-20 10:23:58",,460.45
"2026-04-20 10:24:56",,460.5
"2026-04-20 10:25:54",,460.3
"2026-04-20 10:26:54",,460.55
"2026-04-20 10:27:59",,460.55
"2026-04-20 10:28:56",,460.8
"2026-04-20 10:29:59",,460.85
"2026-04-20 10:30:55",,461.15
"2026-04-20 10:31:57",,461.25
"2026-04-20 10:32:59",,461.3
"2026-04-20 10:33:59",,461.65
"2026-04-20 10:34:52",,461.5
